site_id,gene_id,distance_to_TSS,distance_direction,estimate_intercept,estimate_carers3plus,p_adj_global_(Intercept),p_adj_global_carers3plus,p_adj_by_term_(Intercept),p_adj_byterm_carers3plus,p_carers2,p_carers3,delta_beta,delta_percent,chr,start,end,annotation
VYZT01000025.1_11814,,,,0.691437717560971,2.18308668003364,0.329495710222916,0.000281813630924773,0.134386598749615,0.00699505446051469,0.666286677829954,0.946572622718712,0.280285944888758,28.0285944888758,VYZT01000025.1,11814,11814,intergenic
VYZT01000034.1_259639,Gdpd2,-159535,upstream,0.757895400106936,2.33497640748734,0.34900381345958,0.000173889533404156,0.145414004714623,0.00452943695733045,0.680896628075613,0.956597754629795,0.275701126554182,27.5701126554182,VYZT01000034.1,259639,259639,intergenic
VYZT01000034.1_40444,Dlg3,25254,downstream,0.523772331267502,2.2183029210654,0.760247155035093,8.46646663185829e-05,0.517279751237995,0.00223021287591537,0.628029439596717,0.939464226453536,0.31143478685682,31.143478685682,VYZT01000034.1,40444,40444,gene_body
VYZT01000034.1_41577,Dlg3,24121,downstream,-0.150759266051309,4.98595283543584,0.942317472394402,4.38243488816585e-06,0.84823954457943,6.5095681851905e-05,0.462381407243211,0.992117477586568,0.529736070343357,52.9736070343357,VYZT01000034.1,41577,41577,gene_body
VYZT01000034.1_47670,Dlg3,18028,downstream,0.366981920425592,1.60077991392376,0.538328930361264,0.000167184752101968,0.27716112992076,0.00436248015053229,0.590729503200737,0.877370508898632,0.286641005697895,28.6641005697895,VYZT01000034.1,47670,47670,gene_body
VYZT01000035.1_50056,Fmnl1_1,-1554,upstream,0.76142127986851,2.73762982184066,0.101356164348239,1.33278490696163e-07,0.0319426981980583,6.35292206970502e-07,0.681662229463282,0.97066075816085,0.288998528697568,28.8998528697568,VYZT01000035.1,50056,50056,promoter
VYZT01000040.1_108735,Nfkbiz_0,-186,upstream,2.82967626831893,-2.0218243192053,2.52276481969251e-06,0.000407588583660602,6.78680100007573e-07,0.00957939433839116,0.944258565122483,0.691651578886742,-0.252606986235741,-25.2606986235741,VYZT01000040.1,108735,108735,TSS
VYZT01000072.1_20288,Pias1_0,-3272,upstream,0.654755643142354,1.94521686088982,0.327255692617772,0.000229104978881546,0.133159095231828,0.00581942495412077,0.658081334364276,0.930859810041965,0.27277847567769,27.277847567769,VYZT01000072.1,20288,20288,upstream10k
VYZT01000074.1_12855,,,,0.872044353862069,2.58227323129859,0.0653351186771596,4.85235806849593e-06,0.0196093599181873,7.44651489544288e-05,0.705170907383377,0.96935963972577,0.264188732342393,26.4188732342393,VYZT01000074.1,12855,12855,intergenic
VYZT01000074.1_19679,,,,-0.67983900226975,1.45357672840119,0.185169528862261,4.35333428376927e-36,0.0644730987501546,3.63085478093724e-36,0.336297236568135,0.684328883775805,0.348031647207669,34.8031647207669,VYZT01000074.1,19679,19679,intergenic
VYZT01000080.1_16449,,,,2.97546491486038,-2.27599490863675,1.54058429306306e-07,9.82713715935639e-05,4.68641174829824e-08,0.00258748992023301,0.951453324526446,0.668070255252652,-0.283383069273794,-28.3383069273794,VYZT01000080.1,16449,16449,intergenic
VYZT01000080.1_27716,,,,0.80501027831399,2.22151020614871,0.0551031325679039,1.73099669763114e-05,0.0162873849903297,0.000378158311626121,0.691045206857839,0.953757955454418,0.262712748596579,26.2712748596579,VYZT01000080.1,27716,27716,intergenic
VYZT01000261.1_64266,Pax1,30349,downstream,0.867344551836715,2.63939907008424,0.18743575048469,5.70849271162195e-06,0.0654275889280064,9.19820467047728e-05,0.704192854219236,0.970879037845972,0.266686183626736,26.6686183626736,VYZT01000261.1,64266,64266,intergenic
VYZT01000294.1_11525,Rhcg,6455,downstream,0.560926439474996,2.30563176582873,0.414612470893607,2.35075833428056e-05,0.185606967348071,0.000548695845259103,0.636666873389483,0.946168313144788,0.309501439755305,30.9501439755305,VYZT01000294.1,11525,11525,gene_body
VYZT01000308.1_36281,Gfod2,3075,downstream,0.637782554777294,2.02189431306487,0.485968054587475,5.06392573160661e-05,0.235641007806338,0.00130596754924747,0.654252032220383,0.934604919974391,0.280352887754008,28.0352887754008,VYZT01000308.1,36281,36281,gene_body
VYZT01000406.1_49320,,,,-1.03222015043459,1.49017050349892,0.000544517437893018,5.92466733469131e-301,0.000141021767488455,4.78445297052419e-301,0.262653908151314,0.612527830427777,0.349873922276463,34.9873922276463,VYZT01000406.1,49320,49320,intergenic
VYZT01000577.1_26489,Fzd2,-25123,upstream,0.540213316797628,1.94734294938408,0.43546939829712,0.000290232911301592,0.19948879295566,0.00718690283792902,0.631862039264498,0.923264850743808,0.29140281147931,29.140281147931,VYZT01000577.1,26489,26489,intergenic
VYZT01000602.1_182364,Drp2,-7455,upstream,-0.15861805533099,1.45985712152698,0.831235636992844,0.000199580640512176,0.626041267646435,0.00514767343435036,0.460428418782223,0.786043441998076,0.325615023215853,32.5615023215853,VYZT01000602.1,182364,182364,upstream10k
VYZT01000608.1_126334,Arhgap19,5417,downstream,0.736215690805138,1.96416042745207,0.0915862909139163,2.27975881888815e-05,0.0285006908027812,0.000530342615152914,0.676167778347302,0.937048834173233,0.260881055825931,26.0881055825931,VYZT01000608.1,126334,126334,gene_body
VYZT01000641.1_18462,,,,0.754786944018117,1.8492058054896,0.129310638953845,0.000271830448954908,0.0421902061762643,0.0067796322242473,0.680220854446538,0.931118104577653,0.250897250131115,25.0897250131115,VYZT01000641.1,18462,18462,intergenic
VYZT01000646.1_26127,,,,-0.605950914249239,1.51449210698961,0.0783489299645989,6.57527917590969e-22,0.02395009309996,5.66262270793743e-22,0.352983401477342,0.712701552932146,0.359718151454804,35.9718151454804,VYZT01000646.1,26127,26127,intergenic
VYZT01000647.1_66997,Tmem108,-32942,upstream,-0.435172737815606,1.02360635773984,0.357649104275004,0,0.150433631529328,0,0.392891808388837,0.643005664717066,0.250113856328229,25.0113856328229,VYZT01000647.1,66997,66997,intergenic
VYZT01000660.1_8150,,,,0.708471010401298,1.76217607592044,0.230357218878994,0.000301416235124502,0.0843218735945084,0.00743211116020282,0.670063221018897,0.922058281600861,0.251995060581964,25.1995060581964,VYZT01000660.1,8150,8150,intergenic
VYZT01000689.1_44958,Bricd5,-2282,upstream,-1.15640247177833,3.44808464726998,0.476782123328749,3.02012050559595e-08,0.228788675269615,1.01844678969788e-07,0.239321589225314,0.908185813510983,0.668864224285669,66.8864224285669,VYZT01000689.1,44958,44958,upstream10k
VYZT01000694.1_182042,Grid1_1,36931,downstream,0.735069306595933,1.83177691852463,0.459627350459678,1.4773675189775e-05,0.216304795458816,0.000312673946085134,0.675916709750366,0.928697138989149,0.252780429238783,25.2780429238783,VYZT01000694.1,182042,182042,intergenic
VYZT01000749.1_14660,Btn1a1,1578,downstream,2.11678863795692,-1.59505897010765,9.58456192425637e-11,9.43342416363507e-158,5.58665461608305e-11,7.7936303557336e-158,0.892524268660133,0.627552131475822,-0.264972137184311,-26.4972137184311,VYZT01000749.1,14660,14660,gene_body
VYZT01000771.1_104629,Met_0,35921,downstream,0.880169482902145,2.3428228211636,0.160525492138042,8.85274522691167e-05,0.0543402146241914,0.00233337476446738,0.706857340883762,0.961690409293021,0.254833068409259,25.4833068409259,VYZT01000771.1,104629,104629,gene_body
VYZT01000830.1_45546,Chrm3,14268,downstream,-0.536273805913825,1.24289560398571,0.435581414853908,4.48825890224448e-06,0.199567403372501,6.72336244177333e-05,0.369054814921499,0.669654271438188,0.300599456516689,30.0599456516689,VYZT01000830.1,45546,45546,intergenic
VYZT01001097.1_40579,Nfkb2,3108,downstream,0.417583861103538,1.83724895431141,0.49361463597638,0.000297019055971319,0.241447028276769,0.00733100246612168,0.602904944735513,0.905066589378366,0.302161644642854,30.2161644642854,VYZT01001097.1,40579,40579,gene_body
VYZT01001272.1_101419,Scarb1,76024,downstream,-1.19870052873729,2.14070593196311,0.0927449094042306,0.000134982848271061,0.0289051834825812,0.00355507694356671,0.231706465874069,0.719504561479336,0.487798095605267,48.7798095605267,VYZT01001272.1,101419,101419,intergenic
VYZT01001272.1_165023,Scarb1,12420,downstream,0.44457829295193,1.75396650429108,0.779338376234886,0,0.544548602151856,0,0.609349403971019,0.900118757060188,0.290769353089169,29.0769353089169,VYZT01001272.1,165023,165023,downstream10k
VYZT01001283.1_29135,,,,0.577586349049374,2.4085889298637,0.487622050031253,0.000170624480678302,0.236890376735977,0.00444460099247307,0.640511836387874,0.95194564991324,0.311433813525365,31.1433813525365,VYZT01001283.1,29135,29135,intergenic
VYZT01001285.1_5423,Plekhb1,1483,downstream,0.834764358845879,2.15713823895318,0.250730961090756,0.000167720011234856,0.0938696046092725,0.0043758569661931,0.697361385000574,0.952206969733332,0.254845584732759,25.4845584732759,VYZT01001285.1,5423,5423,gene_body
VYZT01001396.1_49883,,,,0.624118637197313,1.94244426556038,0.231867983213794,5.20111655365857e-05,0.0850136093385929,0.0013413581751302,0.651154687794174,0.92867837545386,0.277523687659686,27.7523687659686,VYZT01001396.1,49883,49883,intergenic
VYZT01001425.1_23107,Rps17,-16950,upstream,-0.426455258228465,1.73224791480676,0.617400783985398,0.000409426629528178,0.349322612917788,0.00961227143549167,0.394973100073495,0.786808263434441,0.391835163360946,39.1835163360946,VYZT01001425.1,23107,23107,gene_body
VYZT01001430.1_53683,,,,2.62636534423259,-2.16821114956175,3.03640404325068e-06,6.54134414529271e-05,8.12957567207337e-07,0.00170906596035286,0.932539253127793,0.612576208572631,-0.319963044555161,-31.9963044555161,VYZT01001430.1,53683,53683,intergenic
VYZT01001430.1_5385,,,,0.0537628549469188,2.36367010843857,0.971386693890105,0.000158934054625142,0.920435032035954,0.00416580988147433,0.51343747720239,0.918147030844626,0.404709553642236,40.4709553642236,VYZT01001430.1,5385,5385,intergenic
VYZT01001444.1_564,,,,0.340804136340326,1.42170659293149,0.525105024759721,0.000137241489550674,0.266254760879193,0.00361209899955954,0.584385844032712,0.853523832526571,0.269137988493859,26.9137988493859,VYZT01001444.1,564,564,intergenic
VYZT01001521.1_73529,Coq3,4866,downstream,-0.277268062774871,1.74439007179453,0.762684075979532,0.000202385890492953,0.520683683610036,0.00521232355017902,0.431123673729565,0.812619551406231,0.381495877676666,38.1495877676666,VYZT01001521.1,73529,73529,gene_body
VYZT01001921.1_21158,Rabggtb,-2248,upstream,0.49949564346575,2.14437109888949,0.572765409644547,0.00017894184432435,0.307103884323798,0.00465574765935184,0.622340798225574,0.933631962738751,0.311291164513177,31.1291164513177,VYZT01001921.1,21158,21158,upstream10k
VYZT01001927.1_32856,Plekhf2,8096,downstream,0.220783171622902,1.82339056754614,0.811416128584215,0.000359340046816845,0.59351564600814,0.00864567413089404,0.554972669590735,0.88535758237764,0.330384912786905,33.0384912786905,VYZT01001927.1,32856,32856,downstream10k
VYZT01001928.1_24724,Ptpa,8741,downstream,-0.117817547705567,2.05112708849563,0.922977018063778,0.000302621387263607,0.803769170653397,0.00745641818366771,0.470579637145264,0.873615283692098,0.403035646546833,40.3035646546833,VYZT01001928.1,24724,24724,gene_body
VYZT01001949.1_76904,Lama1_0,-24269,upstream,-1.75107917402104,1.60943850125939,0.0521715796714653,0,0.0153521356013477,0,0.147911134341262,0.46464891341854,0.316737779077278,31.6737779077278,VYZT01001949.1,76904,76904,intergenic
VYZT01001982.1_34476,POSRUF_R01893,-3958,upstream,0.764317742104302,2.3217012486958,0.25711656638854,9.1072029088585e-05,0.0969255164112138,0.00239905957195668,0.682290427409299,0.95631234409391,0.274021916684611,27.4021916684611,VYZT01001982.1,34476,34476,gene_body
VYZT01001988.1_295106,Tacc1_0,-33239,upstream,0.21845000074801,1.37929662626453,0.80976710516427,0.000195589817530203,0.590871259721997,0.00505145394763362,0.554396354044178,0.831703209511731,0.277306855467552,27.7306855467552,VYZT01001988.1,295106,295106,intergenic
